Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
208931300,Intermezzo,Sally Rooney,"Rooney, Sally",,0374602638,9780374602635,0,3.96,"Farrar, Straus and Giroux",Hardcover,454,2024,2024,,03-02-2025,to-read,to-read (#23),to-read,,,,0,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,0553448188,9780553448184,0,3.62,Hogarth,Hardcover,188,2016,2007,,03-02-2025,to-read,to-read (#22),to-read,,,,0,0
158875813,Prophet Song,Paul    Lynch,"Lynch, Paul",,,,0,4.06,Oneworld Publications,Kindle Edition,259,2023,2023,,03-02-2025,to-read,to-read (#21),to-read,,,,0,0
206305528,Lessons in Chemistry,Bonnie Garmus,"Garmus, Bonnie",,,,0,4.29,Doubleday,Hardcover,404,2024,2022,,03-02-2025,to-read,to-read (#20),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,1400079276,9781400079278,0,4.12,Vintage International,Paperback,467,2006,2002,,03-02-2025,to-read,to-read (#19),to-read,,,,0,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,0375704027,9780375704024,0,4,Vintage Books,Paperback,296,2000,1987,,03-02-2025,to-read,to-read (#18),to-read,,,,0,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,1786071959,9781786071958,0,4.06,Oneworld Publications,Paperback,216,2017,2013,,03-02-2025,to-read,to-read (#17),to-read,,,,0,0
52219386,Almond,Sohn Won-Pyung,"Won-Pyung, Sohn",Joosun Lee,0062961373,9780062961372,0,4.15,HarperVia,Hardcover,272,2020,2017,,03-02-2025,to-read,to-read (#16),to-read,,,,0,0
53438824,Whereabouts,Jhumpa Lahiri,"Lahiri, Jhumpa",,0593318315,9780593318317,0,3.77,Alfred A. Knopf,Hardcover,157,2021,2018,,03-02-2025,to-read,to-read (#15),to-read,,,,0,0
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,0141439580,9780141439587,4,4.05,Penguin Books,Paperback,474,2003,1815,16-11-2022,03-02-2025,2022-reads,2022-reads (#11),read,,,,1,0
