Book Id,Title,Author,Additional Authors,My Rating,Average Rating,Publisher,Binding,Genre,Number of Pages,Year Published,Original Publication Year,Starting Date,End Date,Year Read
356824,India After Gandhi: The History of the World's Largest Democracy,Ramachandra Guha,,4,4.39,Ecco,Hardcover,History,912,2007,2007,05-01-2022,11-01-2022,2022
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,,5,4.35,Vintage,Paperback,Non Fiction,512,2015,2011,09-02-2022,26-02-2022,2022
596633,India's Struggle for Independence,Bipan Chandra,"Mridula Mukherjee, Aditya Mukherjee, K.N. Panikkar, Sucheta Mahajan",5,4.12,Penguin Books,Paperback,History,600,1989,1987,13-02-2022,28-02-2022,2022
58690308,Book Lovers,Emily Henry,,4,4.12,Berkley,Hardcover,Fiction,377,2022,2022,06-03-2022,14-03-2022,2022
41843445,Summary: 21 Lessons for the 21st Century by Yuval Noah Harari,In A Nutshell Publishing,,5,4.29,,Kindle Edition,Non Fiction,64,2018,0,06-04-2022,28-04-2022,2022
56597885,"Beautiful World, Where Are You",Sally Rooney,,4,3.53,"Farrar, Straus and Giroux",Hardcover,Fiction,356,2021,2021,06-06-2022,10-06-2022,2022
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,5,4.34,Avery,Kindle Edition,Non Fiction,319,2018,2018,01-07-2022,15-07-2022,2022
33917,The Namesake,Jhumpa Lahiri,,5,4.02,Mariner,Paperback,Fiction,304,2003,2003,01-07-2022,17-07-2022,2022
785454,Train to Pakistan,Khushwant Singh,Arthur Lall,4,3.94,Grove Press,Paperback,History,181,1994,1956,24-08-2022,02-09-2022,2022
204123,Freedom At Midnight,Dominique Lapierre,Larry Collins,5,4.33,Vikas Publishing House,Paperback,History,629,2001,1975,08-10-2022,30-10-2022,2022
6969,Emma,Jane Austen,Fiona Stafford,4,4.05,Penguin Books,Paperback,Classic,474,2003,1815,12-11-2022,16-11-2022,2022
18144590,The Alchemist,Paulo Coelho,,4,3.92,HarperOne,Paperback,Fiction,182,2014,1988,11-01-2023,15-01-2023,2023
17165596,The Kite Runner,Khaled Hosseini,,5,4.35,Riverhead Books,Paperback,Fiction,371,2013,2003,07-02-2023,22-02-2023,2023
68984,The Power of Your Subconscious Mind,Joseph Murphy,Ian McMahon,4,4.07,Bantam,Mass Market Paperback,Non Fiction,304,2001,1963,02-03-2023,13-03-2023,2023
128029,A Thousand Splendid Suns,Khaled Hosseini,,5,4.44,Riverhead Books,Hardcover,Fiction,372,2007,2007,12-06-2023,22-06-2023,2023
60393672,It Starts with Us ,Colleen Hoover,,2,3.86,Atria Books,Paperback,Fiction,323,2022,2022,01-07-2023,12-07-2023,2023
62627512,It Ends with Us ,Colleen Hoover,,2,4.12,Atria Books,Hardcover,Fiction,373,2023,2016,12-07-2023,18-07-2023,2023
56916837,To Kill a Mockingbird,Harper Lee,,5,4.26,Harper Perennial Modern Classics,Paperback,Fiction,323,2021,1960,24-07-2023,30-07-2023,2023
44421460,Before the Coffee Gets Cold ,Toshikazu Kawaguchi,Geoffrey Trousselot,4,3.68,Picador,Paperback,Fiction,213,2019,2015,08-08-2023,12-08-2023,2023
54373691,Tales from the Café,Toshikazu Kawaguchi,Geoffrey Trousselot,3,3.98,Picador,Paperback,Fiction,192,2020,2017,22-08-2023,27-08-2023,2023
60224365,Before Your Memory Fades ,Toshikazu Kawaguchi,Geoffrey Trousselot,3,3.9,Hanover Square Press,ebook,Fiction,220,2022,2018,16-08-2023,30-08-2023,2023
264196,1984,Michael Dean,"George Orwell, Andy Hopkins, Jocelyn Potter",4,4.41,Addison Wesley Publishing Company,Paperback,Fiction,71,2003,1949,11-10-2023,22-10-2023,2023
66269953,Before We Say Goodbye ,Toshikazu Kawaguchi,Geoffrey Trousselot,4,3.94,Hanover Square Press,ebook,Fiction,173,2023,2021,09-11-2023,18-11-2023,2023
2547,The Prophet,Kahlil Gibran,,4,4.23,Rupa & Co,Paperback,Fiction,127,2003,1923,20-11-2023,20-11-2023,2023
2156,Persuasion,Jane Austen,"Deidre Shauna Lynch, James Kinsley",4,4.15,Oxford University Press,Paperback,Classic,249,2004,1817,09-12-2023,18-12-2023,2023
5326,A Christmas Carol,Charles Dickens,Joe L. Wheeler,4,4.09,Bethany House Publishers,Paperback,Fiction,184,1999,1843,25-12-2023,25-12-2023,2023
170448,Animal Farm,George Orwell,"Russell Baker, C.M. Woodhouse",5,4,Signet Classics,Kindle Edition,Classic,141,1996,1945,29-12-2023,31-12-2023,2023
1885,Pride and Prejudice,Jane Austen,Anna Quindlen,5,4.29,Modern Library,Paperback,Classic,279,2023,1813,01-01-2024,13-01-2024,2024
6900,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,,5,4.19,Warner,Paperback,Autobiography,210,2000,1997,18-01-2024,22-01-2024,2024
62047992,Days at the Morisaki Bookshop ,Satoshi Yagisawa,Eric Ozawa,4,3.65,Harper Perennial,Paperback,Fiction,150,2023,2010,23-01-2024,30-01-2024,2024
18774964,A Man Called Ove,Fredrik Backman,Henning Koch,5,4.38,Atria Books,Hardcover,Fiction,337,2014,2012,01-02-2024,13-02-2024,2024
52578297,The Midnight Library,Matt Haig,,5,3.99,Viking,Hardcover,Fiction,288,2020,2020,23-02-2024,09-03-2024,2024
6642715,The Forty Rules of Love,Elif Shafak,,5,4.12,Viking,Hardcover,Fiction,354,2010,2009,07-04-2024,14-04-2024,2024
59716,To the Lighthouse,Virginia Woolf,Eudora Welty,2,3.8,Harvest Books,Paperback,Fiction,209,1989,1927,23-03-2024,18-04-2024,2024
485894,The Metamorphosis,Franz Kafka,Stanley Corngold,3,3.89,Bantam Classics,Mass Market Paperback,Fiction,201,1972,1915,18-04-2024,18-04-2024,2024
14935,Sense and Sensibility,Jane Austen,"Ros Ballaster, ????? ?????, Mobile Classics, ?????? ??????",3,4.09,Penguin Books,Paperback,Classic,409,2003,1811,30-04-2024,09-05-2024,2024
56545030,I Came Upon a Lighthouse: A Short Memoir Of Life With Ratan Tata,Shantanu Naidu,Sanjana Desai,5,4.46,HarperCollins,Hardcover,Memoir,232,2021,2021,14-05-2024,15-05-2024,2024
216875733,The Stationary Shop,Marjan Kamali,,5,4.22,Simob & Schuster,Audio CD,Fiction,0,2019,2019,12-05-2024,28-05-2024,2024
1774836,The Palace of Illusions,Chitra Banerjee Divakaruni,,5,4.2,Doubleday,Hardcover,Fiction,360,2008,2008,07-06-2024,24-06-2024,2024
198800065,Lives Not Lived,Monika Bhatti,,5,4.14,Leadstart Inkstate,Paperback,Fiction,386,2023,0,18-07-2024,22-07-2024,2024
25896019,An Autobiography of A Yogi,Paramahansa Yogananda,,5,4.25,,Kindle Edition,Autobiography,564,2015,1946,,16-08-2024,2024
43293099,The Forest of Enchantments,Chitra Banerjee Divakaruni,,5,4.2,HarperCollins India,Hardcover,Fiction,372,2019,2019,11-08-2024,21-08-2024,2024
49228706,I Want to Die But I Want to Eat Tteokpokki,Baek Se-hee,Hyacinta Louisa,5,3.25,Penerbit Haru,Paperback,Memoir,232,2019,2018,21-09-2024,23-09-2024,2024
197363973,I Want to Die but I Still Want to Eat Tteokbokki: Further Conversations with My Psychiatrist,Baek Se-hee,,5,3.77,Bloomsbury Publishing,Hardcover,Memoir,224,2024,2019,04-10-2024,06-10-2024,2024
91274427,What You Are Looking For Is in the Library,Michiko Aoyama,Alison Watts,5,4.08,Hanover Square Press,Hardcover,Fiction,304,2023,2020,07-10-2024,15-10-2024,2024
199295788,More Days at the Morisaki Bookshop ,Satoshi Yagisawa,Eric Ozawa,4,3.87,Harper Perennial,Paperback,Fiction,176,2024,2011,21-11-2024,26-11-2024,2024
37570546,Maybe You Should Talk to Someone,Lori Gottlieb,,5,4.37,Harper,Hardcover,Psychological Fiction,415,2019,2019,04-12-2024,15-12-2024,2024
127441416,Anne Frank: The Diary of a Young Girl By Anne Frank,Anne Frank,,5,4.2,Bantam Books,Mass Market Paperback,Autobiography,0,1994,1947,14-12-2024,21-12-2024,2024
222331694,Too Good To Be True,Prajakta Koli,,4,3.35,Harper Fiction India,Kindle Edition,Fiction,272,2025,0,16-01-2025,19-02-2025,2025
